station_id,target,data_version,model,information_combination,window,evaluation_split,n_gap_lengths,gap_lengths,n_complete_anchor_curves,n_incomplete_anchor_curves_excluded,n_bootstrap_clusters,n_resampleable_station_year_strata,n_bootstrap_samples,raw_frontier_days,raw_frontier_censoring,monotone_frontier_days,monotone_frontier_censoring,bootstrap_unit,joint_cross_gap_resampling,reason,statistical_frontier_days,statistical_frontier_censoring,statistical_frontier_status,raw_frontier_days_ci_lower,raw_frontier_days_ci_upper,raw_frontier_days_finite_bootstrap,raw_frontier_days_left_censored_bootstrap,raw_frontier_days_right_censored_bootstrap,monotone_frontier_days_ci_lower,monotone_frontier_days_ci_upper,monotone_frontier_days_finite_bootstrap,monotone_frontier_days_left_censored_bootstrap,monotone_frontier_days_right_censored_bootstrap,breakpoint_days,breakpoint_reason,n_anchors,n_years,p_value,n_hypothesis_units,n_hypothesis_clusters,hypothesis_estimand,hypothesis_family,hypothesis_status,training_seeds_collapsed_first,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,estimate,n_pairs,experiment,mask_type,layout,outage_mode,overlap_ratio,pattern,window_length,training_protocol,fit_split,tuning_split,validation_scope,target_station_id,gap_length,failed_stations,n_anchor_units,event_type,metric,event_mean,matched_control_mean,event_minus_control,ci_lower,ci_upper,n_event_episodes,primary_data_version,sensitivity_data_version,primary_MAE,sensitivity_MAE,MAE_difference,n_paired_anchors,interpretation,claim_language,reference_skill_gain,minimum_meaningful_difference,confidence_intervals_used,permutation_survives,implausible_lag_survives,contrast,status,n_independent_clusters,minimum_independent_clusters,inference_claim_allowed,inference_reason
B1,T,published_v2,air_hydro,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,,left,,left,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,92.0,1908.0,0.0,,,92.0,1908.0,0.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,air_only,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,,left,,left,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,69.0,1931.0,69.0,,,513.0,1487.0,513.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,climatology,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0.0,2000.0,0.0,,,0.0,2000.0,0.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,reference_not_tested,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,
B1,T,published_v2,donor_regression,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,1.442628035009556,,365.0,right,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,1247.0,753.0,597.0,,,1247.0,753.0,1247.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,kalman,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,36.53042265246044,,36.53042265246044,,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,2000.0,0.0,0.0,,,2000.0,0.0,0.0,240.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,linear,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,9.91350387410337,,38.34747224793686,,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,2000.0,0.0,0.0,,,2000.0,0.0,0.0,120.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,pchip,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,31.080693272258745,,30.98782993676938,,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,2000.0,0.0,0.0,,,2000.0,0.0,0.0,150.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,random_forest,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,365.0,right,365.0,right,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,2000.0,0.0,2000.0,,,2000.0,0.0,2000.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
B1,T,published_v2,xgboost,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,365.0,right,365.0,right,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,2000.0,0.0,1183.0,,,2000.0,0.0,2000.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
P3,T,published_v2,air_hydro,full_information,736.0,development_test,15.0,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20.0,0.0,3.0,0.0,2000.0,,left,,left,station_year_overlap_cluster,True,,,,withheld_insufficient_independent_clusters,,,0.0,2000.0,0.0,,,293.0,1707.0,0.0,3.0,,20.0,3.0,,20.0,1.0,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,withheld_insufficient_independent_clusters,True,,27,0,False,0.05,within_named_hypothesis_family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,1,5,False,independent site-year/overlap clusters below 5; p-values and CIs withheld
